F_BUS,T_BUS,PF,QF,PT,QT
1,2,156.80340550085,-20.3857160348704,-152.51021738557,27.6442029172812
1,5,74.6362648125619,3.53556382575259,-71.9384880377887,2.27579750961803
2,3,76.9065945107689,3.21295674416346,-74.3480068772523,2.94088073391259
2,4,55.1072864314349,-1.87911900118265,-53.4913047977909,3.1619668794807
2,5,40.4108825485152,0.953166929566657,-39.5550257835083,-2.03044257792665
3,4,-27.9612159987069,5.97200707013302,28.5036275055421,-5.90456315961191
4,5,-61.4720979875191,16.2356189176221,61.9921823276408,-14.5951131826014
4,7,28.1537886660802,-9.33298529668225,-28.1537886660802,11.0288044545449
4,9,15.9979971137552,-0.260037340747225,-15.9979971137552,1.54846661347027
5,6,42.7631367476294,12.7497582509869,-42.7631367476294,-8.56297627981599
6,11,7.81184186921727,3.3353534781365,-7.75198725002622,-3.21001041899667
6,12,6.99911984549164,2.34989012809475,-6.94060134969151,-2.22809681257419
6,13,17.4705013844598,7.16479483949494,-17.264492463586,-6.75909896463125
7,8,0.332781989274555,-16.9946131543592,-0.332781989274555,17.4460334096088
7,9,27.4930269761362,5.96580869993738,-27.4930269761362,-5.19353891034222
9,10,4.23194391990333,4.45141435504089,-4.22118296830196,-4.42282899162324
9,14,9.05886392509006,3.78162959466624,-8.94902467108661,-3.54798678530859
10,11,-4.12258927180426,-1.37717100832451,4.13661787411993,1.41001041901033
12,13,2.21867658768158,0.628096812579981,-2.20815167807386,-0.618574275315859
13,14,6.11272624222798,1.57767324005768,-6.05100832902991,-1.45201321460169
1,2,163.418449815243,-21.9185039499115,-158.750281858915,30.3218596246218
1,5,77.9635931236174,3.98267597361247,-75.0188522154555,2.85600173761824
2,3,77.2090611640649,3.18550344744377,-74.630547181536,3.05228421820343
2,4,58.0788788900397,-1.35338518942657,-56.2837843553567,3.18692240192406
2,5,42.4065336727336,1.36263506699632,-41.4631834476441,-2.16726922917768
3,4,-25.3130136523174,6.03995467976571,25.7633440289636,-6.20481302835144
4,5,-65.4002581471767,16.3355488708784,65.9872822297276,-14.4838946299632
4,7,30.9737338249893,-9.34341980336921,-30.9737338249893,11.3693099202897
4,9,17.6450828422273,-0.0742384410615714,-17.6450828422273,1.64767829021704
5,6,44.7198461894115,12.195162121596,-44.7198461894115,-7.66369575216898
6,11,9.13634281396736,3.29987826419972,-9.05806087986577,-3.13594610276777
6,12,7.0978791074369,2.30099698741595,-7.03811013444957,-2.17660108000493
6,13,18.3905056389042,7.24339569208136,-18.1647801150763,-6.79887167108267
7,8,0.515866488013017,-18.0171914098083,-0.515866488013017,18.5264652610516
7,9,30.5384786490239,6.64788148955077,-30.5384786490239,-5.69162725994238
9,10,2.83273694707186,4.54212698401191,-2.82452614127512,-4.52031582117556
9,14,10.5402675290631,3.99474143471947,-10.3947922947749,-3.68529612084294
10,11,-5.53212903283271,-1.27968417879902,5.55616345186099,1.33594610278151
12,13,2.57921940283229,0.57660108000553,-2.56539330431188,-0.564091752772775
13,14,8.72917668398681,1.56296342392731,-8.60724402493037,-1.31470387905617
1,2,170.173014809695,-23.4562058315458,-165.105739689715,33.0780945750545
1,5,79.7766205658666,3.81329058356819,-76.695443601842,3.58829483545988
2,3,82.0037739114289,2.7741416302634,-79.0986780122224,4.83954350387997
2,4,58.7339819942396,-1.50945008914924,-56.8982370369024,3.46627951087146
2,5,42.3837803003687,1.33187689151977,-41.4415400328776,-2.14011857707352
