x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
1.06,1.045,1.01,1.017144492,1.019148407,1.07,1.061959436,1.09,1.056945395,1.052272043,1.057782903,1.0544682,1.050001957,1.036689192,158.6362445,77.22000356,76.21127183,58.50658626,43.07825646,-23.97903503,-64.68214391,25.34042312,14.54513473,43.97478633,5.677201977,8.243068592,17.99831016,0.001097336,25.39331612,5.259945913,9.921930308,-2.400097413,1.425860603,4.234921416
1.06,1.045,1.01,1.016799579,1.018603512,1.07,1.061216524,1.09,1.05574471,1.051100938,1.057096303,1.055009278,1.049329887,1.034808972,168.4404484,80.68738325,83.35880413,60.01743241,43.99247101,-29.72751657,-66.74933751,27.92342725,16.06979773,45.8422017,6.807959463,7.976584118,19.13347415,-0.123377873,27.96693433,4.670753582,10.04652767,-3.458747103,2.068840848,5.205743725
1.06,1.045,1.01,1.016944222,1.018779471,1.07,1.061617462,1.09,1.056406978,1.051408439,1.057179956,1.054872279,1.049378467,1.035205873,165.992491,79.73964706,80.93806526,59.51757099,43.65153616,-27.73222441,-66.22462234,26.32592226,15.14884532,45.0923588,6.440828023,8.115857272,18.91087112,-0.299304879,26.93374555,6.297000571,10.46150866,-2.899286437,1.969444595,4.871611841
1.06,1.045,1.01,1.015161825,1.017436642,1.07,1.060674378,1.09,1.055351581,1.050335709,1.056854543,1.054375771,1.048854362,1.035522109,178.2603721,84.585531,85.07568235,63.27737334,45.73499931,-28.17067818,-72.72294114,26.51164445,15.22195672,45.87074323,6.675618432,8.490527549,19.71847729,-0.453368569,26.85466257,6.38614769,9.529106695,-3.717597613,1.957991187,4.275464431
1.06,1.045,1.01,1.01378482,1.016212217,1.07,1.060178165,1.09,1.054876842,1.050023076,1.056877429,1.053979989,1.048941753,1.035175079,205.2836599,93.94186369,102.0253019,68.87329523,48.34182858,-39.48874913,-84.38879197,24.45822358,14.13260912,45.53379338,6.520121885,8.794963359,19.55451046,-0.426897765,25.22003857,5.983102652,9.403287613,-4.021303084,1.644948631,4.519731233
1.06,1.045,1.01,1.015077359,1.017450766,1.07,1.061318882,1.09,1.056460809,1.051581147,1.057809501,1.053055762,1.049162032,1.037538215,193.3489948,89.56328233,96.5294468,66.2822756,46.63044446,-36.58815751,-80.99785774,21.79487439,12.74711894,43.60607642,5.288761943,9.246112509,19.38742772,-0.863268125,23.01999982,6.442067294,9.064249052,-3.017504134,1.03468011,2.879909477
1.06,1.045,1.01,1.016739963,1.018501026,1.07,1.062095125,1.09,1.057319255,1.052437784,1.058045811,1.051717898,1.049516899,1.037608315,184.5393808,85.94056564,94.56480757,63.03380794,45.20787795,-37.95765481,-74.39842668,23.12167533,13.51190604,44.61634072,5.189804153,10.10459819,18.98672685,-0.860846535,24.27974675,6.353231107,9.708317986,-2.357400094,0.103361505,3.17334239
1.06,1.045,1.01,1.015880201,1.017823163,1.07,1.061725276,1.09,1.05694653,1.052492457,1.058165314,1.051610883,1.048137164,1.036012237,191.2937893,88.77636616,98.81670818,65.48033214,46.55327532,-39.78050499,-78.32130338,22.75854123,13.20055197,44.69291413,4.696611525,10.299148,20.90255585,-0.198302344,23.28442758,5.213881696,10.70619032,-2.034257048,0.803751121,3.176842765
1.06,1.045,1.01,1.017589672,1.01900147,1.07,1.062826342,1.09,1.058353315,1.053723346,1.058761314,1.051158255,1.047381334,1.036060861,186.5157927,86.13869559,98.19056127,62.50290259,44.75369993,-41.88342196,-73.8816388,21.98279905,12.82091245,44.90949716,3.909847276,10.64095826,21.9581367,-0.26069496,22.95163387,6.089802849,12.00264501,-1.052640984,0.914215011,2.477484477
1.06,1.045,1.01,1.015536395,1.0171503,1.07,1.061430778,1.09,1.056629412,1.051849204,1.057629671,1.0501869,1.047440536,1.035132346,203.0623184,92.6241483,105.2896243,66.72922592,47.35751835,-44.77555502,-79.7875684,24.40389626,14.26531026,47.70703042,5.278104656,11.34095955,22.08905184,-0.223944162,25.51444932,6.446960319,11.31915516,-2.014535646,0.387208364,3.061643438
1.06,1.045,1.01,1.016398948,1.017717006,1.07,1.062106975,1.09,1.057601706,1.052531819,1.057955845,1.050432156,1.047143054,1.035651681,198.7894245,90.84369525,103.106132,64.94082286,46.42633293,-44.37820115,-76.56520674,24.13447926,14.01108609,48.65299861,4.538271131,11.20115167,22.16510624,0.113492633,25.09486076,7.834526401,11.97634754,-1.214644087,0.587641142,2.393631527
1.06,1.045,1.01,1.014747368,1.016457764,1.07,1.061296929,1.09,1.056709578,1.051944145,1.057486555,1.050072062,1.047635662,1.036199101,213.5711817,96.25304241,109.2002851,68.60965213,48.37626354,-46.54338036,-83.89341662,23.5224472,13.76676994,48.47744134,5.053473727,11.26604185,21.58087997,0.100851258,24.68652627,6.873465649,10.79667666,-1.279909101,0.127990916,2.264231857
1.06,1.045,1.01,1.014859837,1.016382186,1.07,1.061299297,1.09,1.056651445,1.051687985,1.057604451,1.04983087,1.048096723,1.036730707,224.0978492,99.18759796,116.9522353,69.70277318,48.51466405,-53.34330756,-86.6739832,23.58958705,13.77971258,48.56916246,5.057524132,11.46311904,21.01580375,0.196502204,24.67144843,7.377288483,10.22687891,-2.039622979,-0.096230447,2.374673919
1.06,1.045,1.01,1.012966744,1.014488237,1.07,1.060128905,1.09,1.05524148,1.050517693,1.056720862,1.049768963,1.047996282,1.034598916,247.4167588,107.3445289,127.4964233,73.79413809,51.05132311,-59.35413398,-93.37595412,24.59768891,14.42228834,50.52974499,5.994127551,11.56613359,21.16731597,-0.10393853,25.96807676,6.680962303,10.90797843,-2.276230143,-0.137353622,3.60644287
1.06,1.045,1.01,1.01355389,1.015260584,1.07,1.060040005,1.09,1.054712399,1.049484038,1.055523542,1.052891883,1.049501282,1.035172705,249.6023855,106.700371,130.4052855,72.92226812,49.52054606,-62.96296859,-95.33973217,24.46662877,14.27329188,47.95768765,8.091051194,9.327769314,19.05585306,0.817809284,25.31313575,7.0295539,9.340071638,-3.043214992,0.813877871,4.658262709
1.06,1.045,1.01,1.013164483,1.014753377,1.07,1.059988008,1.09,1.054801472,1.049058677,1.055421114,1.053552332,1.049216388,1.035093578,257.675986,109.6010924,135.5916461,74.32409128,50.30832973,-66.75209315,-97.70816842,24.45852088,14.14789653,49.29516951,7.844870874,8.864199522,19.12438086,1.432975889,25.13450435,9.185292276,9.651539212,-3.204367524,1.288075052,4.324596279
1.06,1.045,1.01,1.011854302,1.013305265,1.07,1.05917535,1.09,1.053790548,1.048190922,1.054480036,1.05485192,1.0487479,1.032709633,283.1451894,117.6469526,151.3869348,77.92221602,52.25044432,-77.80123716,-105.1281428,25.00097317,14.39910041,50.65929363,8.916657469,8.072933967,19.54534773,1.530594512,25.23428965,8.781622817,10.66137411,-2.974704287,2.23272689,5.574453848
1.06,1.045,1.01,1.010202551,1.012008727,1.07,1.058231453,1.09,1.052707024,1.047355342,1.053875096,1.055019488,1.047893173,1.030714372,282.8157215,119.1727127,148.8316735,80.54181464,54.24280626,-73.0450026,-106.9276832,25.81865974,14.71266394,51.38555744,9.373014232,8.070694688,20.5800114,1.833540934,25.69392347,8.228453377,11.36547526,-3.073502757,2.832329287,6.217749669
1.06,1.045,1.01,1.011072703,1.012730517,1.07,1.058672894,1.09,1.053044786,1.048138666,1.054541385,1.054409399,1.048280134,1.032646679,296.9267896,122.0855065,164.0787196,80.83888601,53.17844336,-87.08997724,-111.9888577,23.98770669,13.63431565,48.58248954,9.105212187,8.585049357,20.44490062,1.64361794,23.59651209,6.068621897,9.756753334,-3.525697523,2.253687831,5.626582311
1.06,1.045,1.01,1.011017761,1.01265655,1.07,1.058660968,1.09,1.052999099,1.047842969,1.053891466,1.054802379,1.048426795,1.033668438,303.4936656,123.8761457,169.7809702,81.34300877,53.20568919,-91.70282781,-114.3742501,23.14348067,13.21702208,47.93750936,10.11415316,8.275568358,20.27103665,2.006690555,23.09100235,6.618486051,8.893225702,-3.185491427,2.430999534,5.229128901
1.06,1.045,1.01,1.008737336,1.010284277,1.07,1.058082585,1.09,1.052846064,1.047946286,1.053979913,1.054134055,1.04690778,1.033041806,334.0354585,133.9898935,187.4784131,86.8268505,56.17521256,-102.7729203,-123.7840894,20.94983954,12.07670951,49.45733899,9.007458199,8.758770287,22.15321889,2.126032825,21.27920278,7.128667766,9.846255434,-2.143653499,2.79002612,4.050570706
1.06,1.045,1.01,1.010460612,1.011879244,1.07,1.058748269,1.09,1.053455434,1.04820874,1.053924504,1.054476986,1.046362078,1.033211692,313.6707377,127.2829942,174.7985981,82.8468004,54.12708444,-94.97094562,-116.2318903,22.91543658,12.95499478,50.01391416,9.309208873,8.697416691,22.98703696,2.064429829,22.33016852,7.818178009,10.14888236,-1.923275752,3.253355393,3.871025644
1.06,1.045,1.01,1.014516575,1.015808825,1.07,1.060273643,1.09,1.054601539,1.04907125,1.054373083,1.055027401,1.047528098,1.033256026,275.6754042,112.9012892,153.5623415,73.68707227,48.53673488,-84.15250779,-102.443703,23.6237962,13.48050716,46.07902121,10.04877463,8.331429234,21.71850454,2.164983883,23.09141105,7.361807,10.13739063,-2.887490953,3.117489567,5.221522114
