F_BUS,T_BUS,PF,QF,PT,QT
1,2,155.017086017428,-19.9672384960922,-150.822456337753,26.9248119298558
1,5,74.0512713347286,3.63659545469303,-71.3947037880768,2.00519277372524
2,3,72.8451080024228,3.59890537850852,-70.5463103714976,1.4604305713057
2,4,54.9931178430619,-1.65837034542856,-53.3838044928905,2.92215004477657
2,5,40.2998759305788,1.04542352009911,-39.4484136348129,-2.13573538846339
3,4,-24.0083723885663,4.40729496887703,24.4038287100898,-4.71448700526707
4,5,-61.4785175984115,15.6822552873253,61.996773406499,-14.0475173039123
4,7,26.7981063824003,-9.58539813982337,-26.7981063824003,11.1478504644524
4,9,15.3508124999609,-0.404520094166377,-15.3508124999609,1.59210798613633
5,6,41.4386797154912,12.578060133292,-41.4386797154912,-8.63407284511658
6,11,7.63406924518905,3.3406742601805,-7.57646310138455,-3.22003978973709
6,12,7.07384549341339,2.44961027566873,-7.01368424159635,-2.32439792657332
6,13,16.2348827210657,7.01882274535688,-16.0541328353683,-6.66286979585131
7,8,-2.17498935528582e-10,-16.9780343308045,2.17498935528582e-10,17.4283774872277
7,9,26.7981063129795,5.83018390862135,-26.7981063129795,-5.09632779024248
9,10,4.94507088616813,4.44997757362307,-4.93245037100194,-4.41645247046233
9,14,6.94842612196484,3.64822679813312,-6.87824307509461,-3.49893805442474
10,11,-4.36773796318886,-1.38354752403883,4.38332702042567,1.42003978757904
12,13,1.5349499728136,0.724397930388965,-1.52924397309383,-0.719235359213929
13,14,4.82139147930852,1.58210524266574,-4.78158697111326,-1.5010617456663
1,2,174.651827194346,-24.4605863688992,-169.310897734671,34.9179821959874
1,5,81.1143632440615,3.79174962924822,-77.9298253729328,4.03735878894288
2,3,81.7683046499894,2.79329779693154,-78.8797172741445,4.75083653129825
2,4,58.7188281082538,-1.5485769071745,-56.8840439069978,3.50223634561084
2,5,42.5531056911223,1.38774853574081,-41.603175770963,-2.1719205514899
3,4,-29.2338708769032,7.75540086096704,29.8417090056881,-7.51836647337885
4,5,-67.327791857531,17.4821972938421,67.9527670286057,-15.5108336643323
4,7,29.9507811632316,-9.43225782727744,-29.9507811632316,11.3404147496725
